DATE,WIND,IND,RAIN,IND.1,T.MAX,IND.2,T.MIN,T.MIN.G
01/01/1961,13.67,0,0.2,0,9.5,0,3.7,-1
02/01/1961,11.5,0,5.1,0,7.2,0,4.2,1.1
03/01/1961,11.25,0,0.4,0,5.5,0,0.5,-0.5
04/01/1961,8.63,0,0.2,0,5.6,0,0.4,-3.2
05/01/1961,11.92,0,10.4,0,7.2,1,-1.5,-7.5
06/01/1961,10.67,0,0,0,6.5,0,1.2,-2
07/01/1961,9.17,0,1.9,0,9.2,1,-2.4,-7.1
08/01/1961,14.29,0,0,0,6.6,0,3.1,0
09/01/1961,8.04,0,8.3,0,6.8,0,2.4,-0.8
10/01/1961,11.42,0,0,0,6.5,0,3,0.5
11/01/1961,7.54,0,0.5,0,10,1,-3.1,-7.7
12/01/1961,15.54,0,6,0,12.2,1,-3.3,NA
13/01/1961,4.63,0,0,0,13.1,0,5.5,3.3
14/01/1961,3.08,0,0,0,5.6,1,-3.2,-6.1
15/01/1961,2.5,0,0,0,4.4,1,-5,-8.3
16/01/1961,9.25,0,0,0,4.6,1,-4.2,-8.3
17/01/1961,13.42,0,2,0,9.3,0,3.2,-2.7
18/01/1961,17.83,0,8.4,0,10.1,0,4.3,5.1
19/01/1961,3.71,0,0.9,0,6.6,0,1.6,-2
20/01/1961,3.17,0,21.5,0,9.3,1,-0.6,-5.4
21/01/1961,8.04,0,0.2,0,10.1,0,1.6,0.4
22/01/1961,9.38,0,0.3,0,6.5,0,5.5,1.3
23/01/1961,13.7,0,0,0,6.5,0,5.5,2.2
24/01/1961,20.38,0,9.5,0,5.3,0,3.4,0.5
25/01/1961,9.25,0,0,0,4.3,0,2.2,1.1
26/01/1961,14.33,0,0.7,0,13,0,2.2,-1.6
27/01/1961,16.79,0,1.5,0,12.3,0,3.7,2.7
28/01/1961,12.25,0,2.8,0,12,0,4.8,-2.2
29/01/1961,22,0,6.2,0,12.6,0,4.4,1.2
30/01/1961,14.5,0,1.4,0,7.8,0,3.7,0.8
31/01/1961,14.88,0,4.7,0,7.2,0,2.1,-0.5
01/02/1961,10.17,0,2.1,0,8.7,0,1,-2.2
02/02/1961,10.88,0,0.1,0,8.1,0,1,1
03/02/1961,8.5,0,4,0,8.1,1,-0.6,-5
04/02/1961,12.54,0,5.7,0,11.3,0,0,-1.1
05/02/1961,13.96,0,8.6,0,13.5,0,4.7,2.1
06/02/1961,19.17,0,0.5,0,7.8,0,2.1,1.5
07/02/1961,14.21,0,0.3,0,11.6,0,3.2,0.7
08/02/1961,16.5,0,4.4,0,14.6,0,4.4,2.4
09/02/1961,14.37,0,0.3,0,11.7,0,6.4,3.2
10/02/1961,11.08,0,0.8,0,10.7,0,7.3,3.1
11/02/1961,17.5,0,3.5,0,11.3,0,7.3,3.8
12/02/1961,11.71,0,0,0,15.5,0,7.1,4.3
13/02/1961,16.08,0,0,0,12.7,0,8.8,6
14/02/1961,15.46,0,0,0,13.3,0,10,7.7
15/02/1961,5.17,0,0,0,13.8,0,2.5,-3.3
16/02/1961,3.42,0,0,0,12.1,0,2.5,-2.6
17/02/1961,6.17,0,0,0,11.7,0,4.4,-0.4
18/02/1961,10.88,0,0,0,13.3,0,6,4.3
19/02/1961,9.62,0,0,0,14.5,0,8.2,-0.4
20/02/1961,7.25,0,0,0,13.1,0,5.3,-1.5
21/02/1961,3.75,0,0,0,8.6,0,4.7,-2.1
22/02/1961,8.25,0,0,0,7.5,0,5.1,2.5
23/02/1961,16.38,0,4.6,0,8.8,0,5.1,2.2
24/02/1961,8.17,0,0.7,0,11,0,6.1,4.4
25/02/1961,13.08,0,3.2,0,9.8,0,2.7,-1.3
26/02/1961,21.17,0,2.1,0,14.5,0,5.2,1
27/02/1961,12.75,0,3.1,0,10.1,0,4.8,1.1
28/02/1961,14.75,0,1,0,10.6,0,3.8,0.7
01/03/1961,10.25,0,0.7,0,12.7,0,8.1,5
02/03/1961,10.88,0,0,0,12.2,0,7.2,4.3
03/03/1961,11.29,0,0,0,12.2,0,3,-1.6
04/03/1961,6.21,0,0,0,11.8,0,2.8,0.5
05/03/1961,5.5,0,0,0,17.2,0,0,-3.2
06/03/1961,2.83,0,0,0,14.4,0,4.3,1.3
07/03/1961,3.63,0,0,0,14.7,0,6,2.3
08/03/1961,1.71,0,0,0,15.1,0,4.4,0.8
09/03/1961,3.75,0,0,0,14.2,0,6.1,1.6
10/03/1961,8.79,0,0,0,11.8,0,6.7,3.8
11/03/1961,10.34,0,0,0,14.6,0,5.7,2.4
12/03/1961,17.12,0,0.1,0,13.4,0,4.8,NA
13/03/1961,13.96,0,0,0,15.5,0,10.5,9
14/03/1961,8.12,0,0,0,15.5,0,9.5,5
15/03/1961,11.54,0,0,0,16.2,0,7.1,0.5
16/03/1961,2.75,0,0,0,18.8,0,2.2,-1.2
17/03/1961,13,0,0,0,9.7,0,2.1,-1.5
18/03/1961,13.17,0,0.5,0,10.2,0,2.8,0.4
19/03/1961,7.75,0,0,2,9.6,0,3.3,-1.6
20/03/1961,15.41,0,0,0,11.8,0,2.3,-2.2
21/03/1961,8.17,0,0,0,10.3,0,1.7,-1.7
22/03/1961,8,0,0,0,12.7,0,3.1,-1.8
23/03/1961,10.88,0,0,0,9.4,0,5.5,5
24/03/1961,8.46,0,0,0,14.5,0,6.1,5.2
25/03/1961,10.75,0,0,0,12.2,0,3.2,-1.6
26/03/1961,13.75,0,0.3,0,11.8,0,8.4,5.5
27/03/1961,6.75,0,0,0,11.7,1,-0.8,-5
28/03/1961,10.88,0,1.1,0,13.3,0,0.4,-2.6
29/03/1961,16.62,0,1.8,0,14.7,2,7.5,5.5
30/03/1961,14.79,0,1.8,0,13.8,0,9.5,8.6
31/03/1961,11.92,0,1.1,0,14.5,0,7.1,2.7
01/04/1961,11.67,0,2.5,0,13.7,0,8.8,7.7
02/04/1961,5.25,0,0,0,10.3,0,5.2,5
03/04/1961,5.5,0,2.6,0,6.6,0,3.4,3.2
04/04/1961,6,0,9.6,0,10.8,0,3.8,1.6
05/04/1961,9.25,0,4.2,0,14.3,0,4.7,4.2
06/04/1961,5,0,0,0,11.8,0,8,6.3
07/04/1961,5.33,0,0,0,10.2,0,1.1,-0.5
08/04/1961,8.71,0,8.1,0,12.1,0,3.8,-0.8
09/04/1961,9.96,0,1.9,0,12,0,8.8,8.3
10/04/1961,5.21,0,1.9,0,14.4,0,9.4,9
11/04/1961,5.66,0,5.8,0,16.1,0,3.7,-0.2
12/04/1961,6.54,0,7.8,0,13.7,0,10.4,9.3
13/04/1961,8,0,0.1,0,15,0,9,3.1
14/04/1961,4.29,0,0.5,0,14.6,0,7,3.3
15/04/1961,2.46,0,0,0,12.7,0,3.4,0
16/04/1961,2.88,0,0,0,12.2,0,2.3,-1.2
17/04/1961,4.46,0,0,0,15.5,0,3.8,-0.8
18/04/1961,5.66,0,0.2,0,10.7,0,6.7,3.6
19/04/1961,12.96,0,3.7,0,11.6,0,7.6,-1.1
20/04/1961,12.25,0,1,0,12.4,0,7.5,NA
21/04/1961,9.5,0,3.6,0,16.4,0,8.4,1.6
22/04/1961,7.46,0,11,0,12.6,0,9.3,3.8
23/04/1961,10.71,0,1.8,0,12.8,0,6.7,1.3
24/04/1961,5.25,0,2.8,0,13.8,0,2.4,-2.2
25/04/1961,13.75,0,17.2,0,12.8,0,7.7,1.1
26/04/1961,6,0,0,0,16.2,0,6.7,-0.1
27/04/1961,6.25,0,0,0,16.8,0,7.2,1.6
28/04/1961,2.67,0,0,0,15.5,0,2.7,-2.6
29/04/1961,4.04,0,4,0,15.7,0,7.1,3.8
30/04/1961,5.09,0,1.6,0,16.5,0,9,NA
01/05/1961,9.96,0,7.3,0,19.2,0,8.2,NA
02/05/1961,10.46,0,3.4,0,13,0,7.7,NA
03/05/1961,9.5,0,0.4,0,15.5,0,7.4,6.6
04/05/1961,5.96,0,2,0,16.7,0,10.5,7.8
05/05/1961,9.13,0,0.7,0,16.1,0,6.2,3
06/05/1961,16.83,0,0.8,0,15.5,0,9.2,6.2
07/05/1961,18.21,0,2.3,0,13.3,0,6.8,4.6
08/05/1961,18.58,0,0,0,15,0,7.2,5.5
09/05/1961,7.25,0,0,0,16.7,0,5.4,2.7
10/05/1961,3.33,0,0,0,17.1,0,2.1,-1
11/05/1961,3.67,0,0,0,19.7,0,2.2,0.3
12/05/1961,5.17,0,0,0,19.8,0,6.5,1.4
13/05/1961,5.21,0,0.2,0,22.1,0,5.1,0.1
14/05/1961,10.04,0,1.4,0,15.7,0,10.2,6.6
15/05/1961,5.91,0,0,0,14.7,0,9,8.5
16/05/1961,8.38,0,0,0,13.1,0,8.8,4.6
17/05/1961,5.83,0,0,0,13.4,0,3,-0.4
18/05/1961,5.04,0,0,0,12.7,0,4.3,-1.2
19/05/1961,6.83,0,0,0,14.6,0,5,0.5
20/05/1961,4.71,0,0,0,14.7,0,9,7.2
21/05/1961,3.17,0,0,0,15.2,0,3.4,-0.7
22/05/1961,2.42,0,0,0,14.4,0,6.2,1.1
23/05/1961,3.13,0,0,0,14.5,0,9.4,8.7
24/05/1961,4,0,0.2,0,14.6,0,10.4,10
25/05/1961,6.79,0,1.6,0,12.7,0,8.1,8.4
26/05/1961,9.33,0,0,0,10.6,0,4.6,2.2
27/05/1961,4.92,0,0,0,12.5,0,3.2,-1.2
28/05/1961,5.41,0,0,0,14,0,1,-2.8
29/05/1961,11.71,0,1.8,0,13.3,0,9.2,7.5
30/05/1961,5.83,0,0,0,14.2,0,10,8.1
31/05/1961,6.58,0,0,0,17,0,7.8,3.3
01/06/1961,9.75,0,0,0,17,0,5,3.2
02/06/1961,7.92,0,0,0,17.8,0,10.5,10.1
03/06/1961,10.41,0,0,0,18.7,0,11.7,10.8
04/06/1961,6.21,0,0,0,20.8,0,11.3,10.5
05/06/1961,3.42,0,9.4,2,17,0,12.7,11.7
06/06/1961,4.21,0,0.3,0,16.7,0,11.5,10.6
07/06/1961,8.17,0,4.8,0,17.7,0,8.8,6.6
08/06/1961,9.54,0,0.7,0,15.5,0,7.6,6.1
09/06/1961,8.29,0,1.8,0,17.2,0,6.1,4.4
10/06/1961,9.71,0,1.6,0,15.7,0,10.4,9.6
11/06/1961,6.25,0,3.6,0,16.6,0,9,8.4
12/06/1961,9.17,0,1,0,13.6,0,10.5,9
13/06/1961,4.67,0,0.2,0,18,0,6.2,3.2
14/06/1961,5.66,0,1.2,0,18.8,0,6.4,2.2
15/06/1961,8.25,0,0.1,0,18.8,0,13.1,10.4
16/06/1961,10.54,0,0.2,0,19.6,0,7.7,4.7
17/06/1961,12.96,0,0.8,0,20,0,15,14.4
18/06/1961,13.7,0,0,0,17.6,0,9.5,7.2
19/06/1961,10.37,0,0,0,17.3,0,8.7,6.4
20/06/1961,7.92,0,0,0,16.6,0,8.7,8.7
21/06/1961,10.54,0,1.6,0,19.4,0,7.2,2.1
22/06/1961,13.29,0,0,0,18.5,0,11.6,11.5
23/06/1961,14.21,0,0,0,22.4,0,11.6,9.4
24/06/1961,14.88,0,0,0,23,0,11.5,6.7
25/06/1961,11.87,0,2.8,0,21.6,0,12.1,11.4
26/06/1961,8.38,0,0,0,15.2,0,11.6,11.5
27/06/1961,10.54,0,0,0,16.7,0,6.1,3.5
28/06/1961,8.79,0,0,0,19.5,0,8.1,2.4
29/06/1961,8.33,0,0,0,22.2,0,11.1,8.5
30/06/1961,4.92,0,0,0,23.4,0,11.6,9
01/07/1961,6.71,0,0,0,19.4,0,15.5,14.4
02/07/1961,5.83,0,0,0,20.1,0,12.1,11.5
03/07/1961,15.75,0,0.6,0,18.3,0,9.5,7.2
04/07/1961,14.92,0,0,0,18.2,0,10.6,9.8
05/07/1961,10.08,0,0,0,20,0,7.1,4.5
06/07/1961,7.08,0,0.1,0,20.2,0,8,4.4
07/07/1961,14.54,0,0.2,0,21.2,0,13.6,12.2
08/07/1961,14.04,0,0,0,18.3,0,14.4,13.7
09/07/1961,9.46,0,6.4,0,18.4,0,12.3,11.2
10/07/1961,2.67,0,6.6,0,17.3,0,12.2,11.7
11/07/1961,7.41,0,5.4,0,17.4,0,12.8,12.8
12/07/1961,9.08,0,0.4,0,19,0,13.3,10.1
13/07/1961,16.83,0,21.4,0,13.8,0,9,8.4
14/07/1961,11.83,0,0.1,0,17.4,0,8.3,8.6
15/07/1961,10.25,0,2.6,0,18.8,0,7.6,5.8
16/07/1961,13.13,0,0.1,0,15.6,0,11,10.1
17/07/1961,7.08,0,0,0,19.7,0,10.5,8.8
18/07/1961,4.96,0,0,0,19.3,0,10.5,6.8
19/07/1961,3.5,0,0,0,18.7,0,7.6,3.4
20/07/1961,3.04,0,0,0,18.3,0,12.1,11.2
21/07/1961,2.21,0,0,0,16,0,11.7,7.7
22/07/1961,4.75,0,0,0,17.1,0,8.1,8.8
23/07/1961,2.21,0,0,0,17.3,0,10,7.7
24/07/1961,3.58,0,0,0,18.3,0,11.1,8.6
25/07/1961,12.29,0,1.6,0,20.6,0,11.6,9.2
26/07/1961,18.79,0,0,0,17.5,0,12.7,11.3
27/07/1961,7.87,0,2.6,0,16.7,0,10.2,11.2
28/07/1961,9.67,0,0,0,17.8,0,7.7,5.5
29/07/1961,5.79,0,0,0,18.2,0,11.2,10.5
30/07/1961,6.04,0,0,0,21.4,0,8.2,5.3
31/07/1961,3.75,0,0,0,17.7,0,11.7,10.7
01/08/1961,4.21,0,0.7,0,17.1,0,7.3,3.7
02/08/1961,8.87,0,0.9,0,17.8,0,10.4,9
03/08/1961,11.92,0,5.1,0,19.3,0,9.1,6
04/08/1961,13.54,0,0,0,20.6,0,13.4,13.1
05/08/1961,10.54,0,0,0,19.5,0,7.6,3.3
06/08/1961,7.87,0,0.1,0,18.3,0,13.1,8.4
07/08/1961,3.88,0,15,2,14.4,0,6.1,1.6
08/08/1961,10.63,0,1.1,0,19,0,10,9.8
09/08/1961,11.25,0,1.9,0,18.3,0,10.4,8.4
10/08/1961,4.67,0,1.2,0,16.6,0,9,6.2
11/08/1961,6.83,0,0.2,0,16.6,0,8.8,6.2
12/08/1961,6.83,0,0.8,0,19.1,0,5.6,2.2
13/08/1961,10.92,0,0.1,0,18.4,0,11.2,10.2
14/08/1961,15.09,0,0.4,0,18.8,0,11.6,9.7
15/08/1961,9.42,0,0.3,0,18.3,0,12.2,12
16/08/1961,12.96,0,0,0,19,0,11.1,10.7
17/08/1961,10.21,0,0.4,0,21.7,0,11.2,9.3
18/08/1961,19.04,0,0.8,0,17,0,12.5,13.3
19/08/1961,13.21,0,0.3,0,15.6,0,12,11.5
20/08/1961,12.58,0,9.5,0,21,0,11.3,10.1
21/08/1961,19,0,0.2,0,17.3,0,13,12.2
22/08/1961,12.08,0,0,0,17.2,0,10.5,10.5
23/08/1961,8.17,0,5,0,21.6,0,11.6,10.7
24/08/1961,5.66,0,0,0,18,0,6.4,5
25/08/1961,10.92,0,1.8,0,19.4,0,12.8,12.8
26/08/1961,9.79,0,1.1,0,18.2,0,8.6,5.2
27/08/1961,12.12,0,0,0,21.7,0,12.1,9.5
28/08/1961,9.08,0,0,0,24.6,0,12.6,9.4
29/08/1961,14.12,0,0,0,22.7,0,17.8,14.8
30/08/1961,4.58,0,0,0,20,0,9.4,4.8
31/08/1961,2.92,0,0.1,0,21.1,0,5,4.4
01/09/1961,4.63,0,0.1,0,21,0,11.1,1.3
02/09/1961,3.83,0,0.1,0,20.5,0,12.3,10.4
03/09/1961,5.88,0,0,0,16.1,0,13.7,13.7
04/09/1961,1.25,0,0,0,18.3,0,14.4,14.4
05/09/1961,9.38,0,0.2,0,15.6,0,10.6,8.4
06/09/1961,14.09,0,3.4,0,16.6,0,9.6,8.1
07/09/1961,7.87,0,0,0,15.8,0,6.7,5
08/09/1961,3.17,0,0,0,17.7,0,6.6,3.2
09/09/1961,6.92,0,7.9,0,20.2,0,5.6,2.3
10/09/1961,4.83,0,0,0,21.4,0,13.4,10.5
11/09/1961,8.63,0,2.8,0,18.2,0,10.5,6.4
12/09/1961,11.08,0,0.5,0,19.5,0,10,6.8
13/09/1961,11.75,0,0.8,0,19.1,0,12.6,10.7
14/09/1961,12.75,0,1,0,19.5,0,10.4,7.8
15/09/1961,13,0,0.5,0,19.4,0,13.1,12.4
16/09/1961,20.79,0,0,2,19.5,0,12.7,13.3
17/09/1961,7.87,0,0,0,20,0,10.5,7.2
18/09/1961,4.17,0,0.1,0,18.4,0,5.1,1.3
19/09/1961,8.17,0,9,0,21.6,0,11.6,8.1
20/09/1961,4.79,0,9.8,0,17.6,0,11.1,9.4
21/09/1961,6.46,0,0,0,18.3,0,13.2,12.6
22/09/1961,4.12,0,0.4,0,20.7,0,4.2,0.2
23/09/1961,6.08,0,2.8,0,20.3,0,13.3,12.1
24/09/1961,5.91,0,0,0,16.7,0,5.7,5
25/09/1961,8.92,0,0,0,15.5,0,4.6,0.5
26/09/1961,12.46,0,1.2,0,16.6,0,12.2,9.8
27/09/1961,8.08,0,32,0,14.5,0,8.1,4.5
28/09/1961,9.13,0,6.1,0,14.4,0,10.5,10
29/09/1961,9.21,0,1.2,0,16.8,0,8,2.2
30/09/1961,10.96,0,0,0,14.8,0,8.5,4.6
01/10/1961,5.83,0,0.5,0,16,0,10.3,7.6
02/10/1961,8.71,0,3.4,0,17.7,0,10.4,8.4
03/10/1961,4.04,0,7.3,0,15.5,0,13.8,10.6
04/10/1961,3.5,0,4,0,12.7,0,6.6,5.1
05/10/1961,5.63,0,1.8,0,14.7,0,8.8,9.7
06/10/1961,12.96,0,3,0,15,0,11,9.5
07/10/1961,6.87,0,0.6,0,14.6,0,4.3,2.7
08/10/1961,10.17,0,1.6,0,15.1,0,6.4,2.7
09/10/1961,9.04,0,1.7,0,17.5,0,7.8,2.7
10/10/1961,11.75,0,0.9,0,16.6,0,10.4,8.3
11/10/1961,12.71,0,0.1,0,14.3,0,9,6.8
12/10/1961,5.58,0,0,0,15.5,0,2,-1.5
13/10/1961,9.92,0,0,0,17.8,0,5.7,2.6
14/10/1961,2.96,0,0,0,15.6,0,8.8,0
15/10/1961,9,0,0,0,13.8,0,2.5,2.3
16/10/1961,14.58,0,2.2,0,12.2,0,6.5,4.1
17/10/1961,22.17,0,0,0,12.6,0,8.8,7.3
18/10/1961,21.84,0,0,0,12.3,0,6,4.5
19/10/1961,13.21,0,1.1,0,9.6,0,5.7,3.5
20/10/1961,12.08,0,0,0,10.7,0,2.5,-0.2
21/10/1961,7.5,0,0.3,0,13.7,0,5,3.8
22/10/1961,17.58,0,16.7,0,12.6,0,8.4,4.8
23/10/1961,16.21,0,6.6,0,14.5,0,6,4.8
24/10/1961,17.96,0,5.6,0,11.5,0,8.2,6.6
25/10/1961,18.34,0,0.2,0,11.1,0,3.2,1.7
26/10/1961,9.79,0,0,0,13.3,0,7.4,5.2
27/10/1961,7.79,0,1.6,0,11.6,0,4.5,-0.4
28/10/1961,9.75,0,0,0,11.7,0,3.7,1
29/10/1961,9.42,0,0,0,10.4,0,1.5,-3.6
30/10/1961,14.88,0,0,0,12.5,0,5,-1.1
31/10/1961,15.25,0,0.5,0,15.4,0,8.3,8.4
01/11/1961,13.08,0,0.3,0,15.4,0,7.7,3.1
02/11/1961,15.83,0,0.5,0,11.7,0,8,5.4
03/11/1961,11.21,0,0,0,8.2,0,2.2,-1.2
04/11/1961,8.5,0,0,0,10.6,0,1.3,-2.4
05/11/1961,10.79,0,0.4,0,13,2,3,NA
06/11/1961,8.21,0,0,2,11.3,0,6.6,4.1
07/11/1961,9.29,0,4.1,0,13.2,0,6.6,5.6
08/11/1961,6.58,0,0,0,10,0,2.3,-1.6
09/11/1961,8.21,0,0,0,9.5,1,-1,-6.3
10/11/1961,7.71,0,0.3,0,6.1,1,-1.6,-6.6
11/11/1961,12.12,0,0,0,8.6,1,-1.6,-5.5
12/11/1961,13.04,0,0,0,10.5,0,0.8,-4.4
13/11/1961,21.87,0,0,0,10.5,0,3.2,1.1
14/11/1961,15.71,0,0,0,9.4,0,8,5.4
15/11/1961,6,0,0,0,8.7,0,6.7,5.8
16/11/1961,2.29,0,0.5,0,8.3,0,6.1,5
17/11/1961,3.13,0,0.4,0,9.6,0,6,5.5
18/11/1961,9.29,0,0,0,9.6,0,6.1,6.3
19/11/1961,9.33,0,0,0,9.4,0,8.4,7.2
20/11/1961,13.04,0,0,0,9.5,0,8.4,7.2
21/11/1961,7,0,17.8,0,10.2,0,1.1,-2.7
22/11/1961,9.17,0,0.7,0,12.3,0,1.6,NA
23/11/1961,15.41,0,0,0,8.7,0,2.4,-0.5
24/11/1961,16.17,0,0.9,0,10,0,3.3,NA
25/11/1961,11.83,0,0,0,7.7,0,2.8,-0.2
26/11/1961,6.34,0,8.6,0,8.1,1,-0.4,-5.4
27/11/1961,5.83,0,1.2,0,6.8,2,0,NA
28/11/1961,12.79,0,0.9,0,8.3,0,1.7,-1.7
29/11/1961,15.29,0,12.5,0,12.6,0,3.5,4.2
30/11/1961,16.5,0,5.8,0,13.1,0,6.6,6.7
01/12/1961,7.25,0,0,0,5.5,0,4.6,3.3
02/12/1961,12.21,0,3,0,7.2,0,0.3,-2.6
03/12/1961,7.67,0,3.2,0,7.4,1,-3.2,-7.8
04/12/1961,13.79,0,8.4,0,13.1,1,-2.2,NA
05/12/1961,17.83,0,0.1,2,5,0,0.7,-1.4
06/12/1961,12.62,0,0,0,3.3,1,-0.4,-3.1
07/12/1961,8.87,0,4.5,0,5.5,1,-5.4,-10.4
08/12/1961,19.83,0,4.2,0,11.5,1,-5,NA
09/12/1961,10.04,0,3.4,0,13.3,0,5.1,0.1
10/12/1961,18.84,0,4.6,0,14,0,5.1,0.4
11/12/1961,25.62,0,0.4,0,11.8,0,9.5,8.3
12/12/1961,16.83,0,3.3,0,13.4,0,9.1,7.5
13/12/1961,16.66,0,0.2,2,13.5,0,7.8,2.5
14/12/1961,9.38,0,0.1,0,12.7,1,-1.1,-5.5
15/12/1961,10.71,0,0,0,13.2,1,-0.5,NA
16/12/1961,6.92,0,0,0,11.2,0,7.8,3.3
17/12/1961,9.54,0,0,0,9,0,4.8,1.6
18/12/1961,4.79,0,0,0,4.4,1,-2.7,-8.3
19/12/1961,3.54,0,0,0,2.1,1,-5,-8.5
20/12/1961,3.63,0,0,0,6.1,1,-5.5,-9
21/12/1961,4.33,0,0,0,6.2,1,-5,-6.7
22/12/1961,13.59,0,0,0,6.8,1,-1.6,NA
23/12/1961,18.12,0,0,2,5,0,3.8,3.4
24/12/1961,8.5,0,0,0,2.6,1,-0.5,-5.1
25/12/1961,11.92,0,0,2,5,1,-2.7,-10.7
26/12/1961,17.12,0,0,0,5,0,0.7,-0.5
27/12/1961,2.92,0,0,0,3.3,1,-3.2,-9.4
28/12/1961,8.96,0,0,0,3.8,1,-5.2,-10
29/12/1961,15,0,0,2,3,1,-5,-8.6
30/12/1961,17.29,0,0,0,1.7,0,0.1,0
