@relation 'cleaned_weather_data-weka.filters.unsupervised.attribute.NominalToBinary-R5,8,10'

@attribute Temperature numeric
@attribute Humidity numeric
@attribute 'Wind Speed' numeric
@attribute 'Precipitation (\%)' numeric
@attribute 'Cloud Cover=partly cloudy' numeric
@attribute 'Cloud Cover=clear' numeric
@attribute 'Cloud Cover=overcast' numeric
@attribute 'Cloud Cover=cloudy' numeric
@attribute 'Atmospheric Pressure' numeric
@attribute 'UV Index' numeric
@attribute Season=Winter numeric
@attribute Season=Spring numeric
@attribute Season=Summer numeric
@attribute Season=Autumn numeric
@attribute 'Visibility (km)' numeric
@attribute Location=inland numeric
@attribute Location=mountain numeric
@attribute Location=coastal numeric
@attribute 'Weather Type' {Rainy,Cloudy,Sunny,Snowy}

@data
10,61,7,80,0,0,1,0,995.17,0,0,0,1,0,1.5,0,0,1,Rainy
25,58,6.5,15,0,0,1,0,1013.56,1,0,0,0,1,8.5,1,0,0,Cloudy
34,84,16.5,84,0,0,1,0,1012.85,2,0,0,0,1,4,1,0,0,Rainy
36,67,8,93,1,0,0,0,909.35,1,0,0,1,0,15,1,0,0,Rainy
7,27,7.5,74,0,0,1,0,814.28,3,0,1,0,0,5,1,0,0,Cloudy
32,33,14,88,0,0,1,0,902.67,4,0,0,1,0,19.5,0,1,0,Cloudy
30,69,15.5,91,0,0,1,0,1005.42,2,1,0,0,0,2,0,0,1,Rainy
28,96,7.5,90,0,0,1,0,993.7,0,1,0,0,0,3,0,0,1,Rainy
-12,61,8.5,71,0,0,1,0,1079.97,2,0,1,0,0,3,1,0,0,Sunny
44,88,13,79,0,0,1,0,1018.83,3,0,1,0,0,9,0,1,0,Cloudy
22,87,11.5,68,0,0,1,0,1006.67,1,0,0,0,1,3.5,1,0,0,Rainy
41,103,24,93,0,0,1,0,1009,6,0,0,0,1,11,1,0,0,Cloudy
20,106,44,91,0,0,1,0,991.05,9,0,0,0,1,3,0,1,0,Rainy
30,85,11,80,0,0,1,0,1005.48,1,0,0,1,0,1,0,1,0,Rainy
22,60,11.5,63,0,0,1,0,992.69,2,0,1,0,0,3,0,0,1,Rainy
11,79,12.5,60,1,0,0,0,992.93,0,0,0,1,0,2,1,0,0,Rainy
26,70,19,79,1,0,0,0,1001.72,1,0,1,0,0,3,0,1,0,Rainy
27,90,19.5,89,0,0,1,0,1002.45,1,0,0,1,0,2,1,0,0,Rainy
29,77,17,69,1,0,0,0,1019.66,1,0,0,1,0,2,0,0,1,Rainy
33,98,14,93,0,0,1,0,996.33,2,0,0,1,0,4.5,0,1,0,Rainy
16,77,8,34,0,0,1,0,1007.74,1,0,0,1,0,7.5,0,0,1,Cloudy
